Date (yr-month-day),Newspaper title,Article Title,page(s),Location,Overall Portrayal,Prostitution/Sex,Crime,Poverty,Keywords
1885-01-17,The Spectator,From Oxford to Whitechapel,12-Nov,"Toynbee Hall, Whitechapel",positive,,,,"education, improvement"
1885-02-07,The Spectator,News of the Week-Prince Edward,3,"Whittington Boy's Club, Leman Street, Whitechapel",positive,,,,"boys, morality, royal visit"
1885-08-01,The Spectator,Nazing,13-14,Whitechapel Market,negative,,,,"cruelty to anmials, market"
1885-01-17,Illustrated London News,The London Society for the Extension of University Teaching...,67,Toynbee Hall,neutral,,,,"education, lectures"
1885-01-24,Illustrated London News,Our Note Book-One feels inclined...,74,Leman Street,negative,,,,civic pride
1885-01-31,Illustrated London News,The Court,109,"Whittington Club and Chambers, 86 Leman Street, Whitechapel",neutral,,,,"royal visit, boys' club"
1885-02-07,Illustrated London News,The Court,145,"Whittington Club and Chambers, 86 Leman Street, Whitechapel",positive,,,,"royal visit, boys' club"
1885-02-07,Illustrated London News,The Dynamite Outrages,147,30 Great Prescot Street,negative,,yes,,"bombing, suspect"
1885-05-02,Illustrated London News,The East London Industrial Exhibition...,456,"Drill Hall, Whitechapel Road",neutral,,,,show
1885-06-06,Illustrated London News,Benevolent Objects,581,"Working Lads' Institute, Whitechapel",positive,,,,"improvement, boys' club"
1885-08-01,Illustrated London News,The Lord Mayor distributed...,110,"Whitechapel Foundation School, Leman Street, Whitechapel",positive,,,,awards
1885-09-12,Illustrated London News,The Princess of Wales has...,264,"Working Lads' Institute, Whitechapel Road",positive,,,,"royal visit, boys' club"
1885-11-07,Illustrated London News,The architect of the...,469,"Working Lads' Institute, Whitechapel Road",neutral,,,,"architect, Working Lads' Institute"
1885-11-07,Illustrated London News,The Court,476,"Working Lads' Institute, Whitechapel Road",positive,,,,"royal visit, boys' club"
1885-11-07,Illustrated London News,Royalty in Whitechapel,479,"Working Lads' Institute, Whitechapel Road",positive,,,,"royal visit, boys' club, improvement"
1885-01-09,The Times,Discovery of Forged Bank-Notes,7,"Mansell-Street, Whitechapel",negative,,yes,,police incompetance. forgery
1885-01-10,The Times,Destructive Fire,10,"174A, Brady-Street, Whitechapel Road",neutral,,,,"Fire, railway arches, Metropolitian Fire Brigade"
